sentence,emotion
i do feel a bit slutty though for moving on so fast,love
i feel super huge,joy
i feel proud of myself because i was strong and i made the right choice which will snowball into today and help me to be strong today and so on and so forth,joy
i feel exhausted on many levels not the least of which is the part of me that is always helping others,sad
i feel so at ease and so peaceful being your everything,joy
i found myself staring at my blog with its shiny new layout and feeling unloved because i hadnt had a single comment on my last two posts,sad
i feel so thankful for all of the cards and letters and phone calls from family and friends,joy
i was feeling very restless,fear
i feel like so ashamed like i f ked it up,sad
i was so excited about making my own invitations but i ve been getting so many negative reactions that i m feeling really unsure about it now,fear
i always feel invigorated after a good workout,joy
im feeling bitter i will admit that,anger
im able to feel more peaceful more relaxed and more able to help others,joy
i know is that between my year old making me feel exhausted yet loved the computers making me realize that we depend on and stress about things too much and my chickens making me smile because of the extremes they push me to i just feel full,sad
i could feel myself wincing with pain as she clung on to my already damaged arm,sad
i was feeling so naturally i was very suspicious of those folks at the hospital and even of the cardiologist who insisted that i did not need an echo because he was certain from my stress test that i did not have enlargement of heart,fear
i feel a little nervous answering this question because again i dont run to train for races,fear
i always looked to for words and inspiration and now i feel like im stunned and useless to offer any back to them,suprise
i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,joy
i was minding my own business at a school event for my niece and nephew feeling all peaceful and relaxed,joy
i feel terrible about missing the episode,sad
i feel kind of isolated in this place,sad
i doesnt know how to deal with other people and their emotions especially dealing with another person crying right in front of him he can barely keep a grip on his own feelings which is why he prefers to keep them repressed,sad
i feel like my purpose on this planet is to be the one who always has fucked up shit going on so that the norms of society will exist,anger
i am feeling more and more appreciative of food,joy
i don t feel all that important really,joy
im feeling slightly less temporarily disappointed with this guy and slightly more temporarily liking him,sad
i feel stupid doing that,sad
i keep trying to mask on my bleeding aching wounds but sometimes like today i just feel so horrible,sad
i felt bad about it so many girls feel insecure because they don t think they are small enough and yet here i was hoping and praying to get bigger,fear
im feeling more hopeful that i will manage to graduate someday,joy
i feel a tad neglectful that i havent been keeping this up to date,sad
i sit in the raw helplessness i feel about my moms emotional and physical state,sad
im thrilled to report that ive been feeling amazing,joy
i know that because i feel so joyful every time,joy
i live and breathe today with the feeling that i am not quite accepted,love
i said again feeling a twinge of smugness at my flawless imitation,joy
i assume the position i feel very submissive,sad
i wasnt really feeling like being snarky or funny,suprise
i am really feeling like i fucked up as a parent and failed my child,anger
i havent had a dress that has made me feel so elegant in a long time,joy
i am exceedingly sorry that shane mortimer feels that i have insulted him and his aboriginality,anger
i have a chance to feel smug for a moment a cultist sneaks up and shoots me in the back,joy
i use to feel pressured to get skinny and change my appearance just for people i didnt give to fs about,fear
i always like guys but yet they were in and out of my heart and the feel i feel towards them are just fake love or monkey love,sad
i was feeling slightly hesitant but i was curious,fear
im feeling strangely mellow for having so much work due,joy
i realised of my today were raw which is great but also an issue in terms of feeling like youre being too virtuous for me hence the crumble earlier,joy
i feel more reassured that it s no doddle,joy
i feel quite beaten today,sad
i can most feel the divine discontent that c,joy
i returned to the house feeling overwhelmed in a way that people usually only talk about when the same thing happens with negative emotions,suprise
i have lost a significant amount of weight ive really suffered with feeling cold,anger
i feel totally greedy and worthless if all i do is ask for help and it just seems fake and cheesy to sit there thanking him for every stupid little thing,anger
i feel truly blessed in so many ways loving wife precious daughter wonderful and supportive family etc,joy
i decided that was it no more feeling this way and i am determined to find my way back to where i once was but not who i once was,joy
i continue to feel amazed by the ways that god shows himself in the details,suprise
i cant say this part enough ive done it without feeling like ive deprived myself of anything i want,sad
ive either been feeling so drained by the end of the day or i have social events to go to,sad
i can feel it in the music and in the love of my family and faithful friends,love
i left in a bit of hurry as i was annoyed and am now feeling really miserable about how crappy the night turned out,sad
i feel what i m thinking so she can be reassured about what she means to me,joy
im feeling festive and i dont think i posted a good picture of our tree,joy
i fear the reality of the situation would destroy what i feel i know i m jaded,sad
i did feel grumpy and in fact got easily angered with my boys over the littlest things,anger
i feel like my past two blogs have just been so messy and unorganized but i don t know what to do about that either,sad
i am feeling very disturbed and upset,sad
i feel petty and mean spirited,anger
i am just feeling more and more depressed,sad
i can go further and wear these lovely glamorous nighties and feel fabulous and luxurious and exquisite while having my beauty sleep,joy
im very much happy that the hero reciprocate her feelings even though i am truly jealous since i want him too,anger
i feel mad that my body is so effected by this stuff that i am taking to help my body that i never took before,anger
i am waiting for a big crossfit day to start i am feeling awful,sad
im ok i w ont get stupid tonight the rd im cool i feel so much more relaxed th shit im getting pissed but this feels great just watch what i say can hardly bloody talk,joy
i am already feeling defeated after getting turned down for two jobs at the same branch,sad
i find hate to be a very strong feeling which is why it leads to suffering maybe your own or someone elses but still there will be suffering,sad
i heard about alexander mcqueen i feel so devastated,sad
i was already feeling exhausted as i quickly changed my clothes and headed to the airport,sad
i broadcast every post publicly and im feeling a strange impulse toward containment for some reason,fear
i aim to have people come and explore letterpress printing by running workshops i feel my studio is such a lovely space that its a shame not to share it with other creatives as well,love
i feel strangely heartbroken,sad
i feel comfortable to make cutesy remarks around you,joy
my husband falls ill and does not follow the doctors advice on the treatment or the diet control,anger
i really dont like taking heavy narcotic drugs first thing in the morning because i feel too groggy,sad
i stay in bed worrying about something and cannot get to sleep because i feel stressed or if i feel i must remember to do something the next day i write that thing down,anger
i feel your cold hands over my skin i taste your lack of empathy driving me to madness lick my flaws tell me how much you want me as i see the lust within your caved in eye sockets and it somehow fuels my desires,anger
i am feeling shitty and overworked seeing my friends booking in for their last times,sad
i feel dat i shld be respected fer hu i am,joy
i could see them marking spots on the screen and i asked feeling alarmed if they were stones but they both said no and went back to the scan so i put it out of my mind,fear
im trying to get some work done quickly as i have a feeling that my little girl might be up throughout the night with a bit of a cold sickness,anger
i am also relieved since feeling awful now,sad
i shall never forget the feeling of being here in my beloved city of new york,joy
i also am always so tempted to get the shampoo they use because my hair always smells and feels amazing,joy
i know what certainty feels like now and it is a far less pleasant feeling than the hope and love that surrounded me on that night,joy
i left feeling a lot more hopeful,joy
ive realised the flirting but not committing or actually having any real feelings or real desires is to do with being accepted loved and wanted by males because of my problems with dad,joy
i feel nostalgic for a shahrukh movie,love
i always try to let my students needs drive my instruction but deadlines and assessments do worry and stress me and i always feel rushed,anger
i feel like every second should be productive and useful,joy
